Hoph2o , ((((((((((((((((((((
Night Ranger , (You Can Still) Rock in America
Hoph2o , {{{{{{{{{{{{{{{{{{{{ Overchart
Hoph2o , {{{{{{{{{{{{{{{{{{{{ Underchart
Rush , 2112 Pt. 1 - Overture
Rush , 2112 Pt. 2 - The Temples of Syrinx
Rush , 2112 Pt. 3 - Discovery
Rush , 2112 Pt. 4 - Presentation
Rush , 2112 Pt. 5 - Oracle: The Dream
Rush , 2112 Pt. 6 - Soliloquy
Rush , 2112 Pt. 7 - Grand Finale
Sportfreunde Stiller , '54, '74, '90, 2010
The Collapsable Hearts Club , 703 Easy Street
CKY , 96 Quite Bitter Beings
12 Stones , Adrenaline
Flyleaf , Again
All That Remains , The Air That I Breathe
Spite , All I Know is Hate
Foo Fighters , All My Life
The Kooks , Always Where I Need to Be
Dream Theater , The Answer Lies Within
Jethro Tull , Aqualung
Aerosmith , Back in the Saddle
Ozzy Osbourne , Bark at the Moon
Heart , Barracuda
Avenged Sevenfold , Bat Country
Avenged Sevenfold , Beast and The Harlot
All That Remains , Becoming The Catalyst
Pierce The Veil , Bedless
Jane's Addiction , Been Caught Stealing
François Jalbert , Beenox Logo
Eminem , Berzerk
Placebo , The Bitter End
Soundgarden , Black Rain
John 5 featuring Jim Root , Black Widow of La Porte
Linkin Park , Bleed It Out
My Chemical Romance , Blood
Dethklok , Bloodlines
Agent Orange , Bloodstains (Darkness Version)
Drowning Pool , Bodies
The Dandy Warhols , Bohemian Like You
Queen , Bohemian Rhapsody
Green Oasis , Boulevard of Broken Wonders
Swear By This , Brand New
Bulb , Breeze
Evanescence , Bring Rap to Life
Deep Purple , Burn
Blue Oyster Cult , Burnin' for You
Crystallion , Burning Bridges
Lynyrd Skynyrd , Call Me the Breeze (Live)
Angels & Airwaves , Call to Arms
Strung Out , Calling
Patrick Star , Campfire Song Song Song Song
Spongebob Squarepants , Campfire Song Song Song Song
My Chemical Romance , Cancer
Kansas , Carry On Wayward Son
Anthrax , Caught in a Mosh
The Fratellis , Chelsea Dagger
Slayer , Chemical Warfare
